,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
5 Ghz,14271_ubuntu2204,4,16,328,,328,,,7 984,,10.20.42.41,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=devops-nodeexporter-linux&var-host=youtrack.devops.ics.local:9100,"26,10%",Youtrack prod,,DO,,org
,14271_ubuntu2204_dev-yt(10.20.42.141),4,16,328,,328,,,5 104,,10.20.42.141,,не мониторится,,Dev Youtrack,,STND,,нужен этот сервер?
,14272_win22,4,16,120,,120,,,3 440,,10.20.42.73,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=veeam.devops.ics.local&var-cpumode=dpc,"27,90%",Veeam сервис для backup HW,,DO,,что туда бекапится?
,14273_win22,4,16,60,900,960,,,10 160,,10.20.42.74,,,,tenant SO JTI,,SO JTI,,
,,,,,,,,,,,10.20.42.75,,,,,,,,
5 Ghz,14275_win22,4,8,90,200,290,,,6 400,,10.20.42.76,,,,"Quiz master instance для поддержки мультитенанта
Quiz preprod",Через него работают обновления,Quiz,,почему такой жирный сервер? Нужен он?
,,,,,,,,,,,10.20.42.77,,,,,,,,
,,,,,,,,,,,10.20.42.78,,,,,,,,
,14278_ubuntu2204_int_stor,2,2,,,,2058,,4 876,,10.20.42.79, ,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=windows-exporter-int-a&var-host=storage01.inta.ics.local:9100,"1,80%",iscsi drive for vm14266 INT A & J&J,"Хранилище JTNL, Heinz, NAOS, OPTC и все пилоты по планированию",JTNL + Heinz  +NAOS + OPTC,,
,14279_win22,4,16,80,240,320,,,5 040,,10.20.42.80,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=mssql-ci-cd.devops.ics.local&var-cpumode=dpc,"3,86%",Хранилище downstream БД beta,"Хранятся БД, которые разворачиваются через CI/CD",DO,,реально нужен отдельный сервер?
